node_id,c_000,c_001,c_002,c_003,c_004,c_005,c_006,c_007,c_008,c_009,c_010,c_011,c_012,c_013,c_014,c_015,c_016,c_017,c_018,c_019,c_020,c_021,c_022,c_023,c_024,c_025,c_026,c_027,c_028,c_029,c_030,c_031,c_032,c_033,c_034,c_035,c_036,c_037,c_038,c_039
3107,0.3074708878993988,0.7422294020652771,0.5000414848327637,1.3352261781692505,-1.7279388904571533,-0.5887203216552734,0.3781607151031494,-0.4321879744529724,0.2997261881828308,0.7886015176773071,0.5282011032104492,1.3273229598999023,-1.7369592189788818,-0.5599982142448425,0.3578905165195465,-0.44740039110183716,0.292478084564209,0.8343814015388489,0.5547797679901123,1.3070183992385864,-1.74256432056427,-0.5350474715232849,0.32300931215286255,-0.46446695923805237,0.28691670298576355,0.8737363815307617,0.5786378979682922,1.2770079374313354,-1.7455329895019531,-0.5139766931533813,0.27614569664001465,-0.47836294770240784,0.28381475806236267,0.9018262624740601,0.5990029573440552,1.2450921535491943,-1.7476890087127686,-0.4969574213027954,0.22251437604427338,-0.4868108928203583
3108,0.2987416386604309,0.7877652645111084,0.5281059145927429,1.3268344402313232,-1.73696768283844,-0.5601022839546204,0.35718271136283875,-0.44742369651794434,0.29171642661094666,0.8334006071090698,0.5546431541442871,1.306601643562317,-1.7428125143051147,-0.5352931618690491,0.32227492332458496,-0.4644909203052521,0.28639280796051025,0.8726863265037537,0.5784498453140259,1.276671051979065,-1.7457929849624634,-0.5143470764160156,0.2755562365055084,-0.47838273644447327,0.28354477882385254,0.9007834196090698,0.5987491011619568,1.2448176145553589,-1.7479214668273926,-0.4974234104156494,0.2222265899181366,-0.48681217432022095,0.2833111584186554,0.9138323068618774,0.6158006191253662,1.2213521003723145,-1.7513256072998047,-0.4848416745662689,0.17076203227043152,-0.490416944026947
3109,0.290732204914093,0.8323701024055481,0.5545610785484314,1.3061320781707764,-1.7428209781646729,-0.5354657173156738,0.3215835988521576,-0.4645133912563324,0.285631000995636,0.8715382814407349,0.5783290266990662,1.2762802839279175,-1.7460421323776245,-0.5146496891975403,0.27484461665153503,-0.4784059226512909,0.2830207347869873,0.8996174335479736,0.5985773801803589,1.244505524635315,-1.7481824159622192,-0.4978368282318115,0.2216571420431137,-0.48683154582977295,0.28304117918014526,0.9127398729324341,0.615561842918396,1.2210936546325684,-1.7515596151351929,-0.4853372871875763,0.17048266530036926,-0.4904181957244873,0.2852296233177185,0.9082412719726562,0.6309143900871277,1.2150194644927979,-1.7575000524520874,-0.4776362478733063,0.13232287764549255,-0.49164414405822754
3110,0.28464701771736145,0.8703423142433167,0.5782586932182312,1.2758383750915527,-1.7460507154464722,-0.5148795247077942,0.2741752564907074,-0.4784277677536011,0.2822588384151459,0.898351788520813,0.5984700322151184,1.2441421747207642,-1.7484323978424072,-0.4981848895549774,0.22097136080265045,-0.4868542551994324,0.28251710534095764,0.911522626876831,0.6154038906097412,1.2207996845245361,-1.7518222332000732,-0.48578208684921265,0.16993242502212524,-0.490437388420105,0.28495970368385315,0.907171905040741,0.6306891441345215,1.2147653102874756,-1.7577369213104248,-0.4781494736671448,0.1320497840642929,-0.4916453957557678,0.2886714041233063,0.884272038936615,0.646519124507904,1.2304701805114746,-1.7658520936965942,-0.475896954536438,0.11764536052942276,-0.4933969974517822
3111,0.2812750041484833,0.8970394730567932,0.5984097719192505,1.2437297105789185,-1.7484409809112549,-0.49846044182777405,0.22032694518566132,-0.4868756830692291,0.2817552089691162,0.9102049469947815,0.6153078079223633,1.2204567193984985,-1.7520734071731567,-0.48616334795951843,0.16927143931388855,-0.4904598891735077,0.2844357192516327,0.9059785008430481,0.6305435299873352,1.214476227760315,-1.7580021619796753,-0.4786129593849182,0.1315137892961502,-0.4916645288467407,0.2884015738964081,0.8833017349243164,0.6463078856468201,1.2302056550979614,-1.7660927772521973,-0.47641441226005554,0.11737465858459473,-0.4933982789516449,0.292378693819046,0.84317946434021,0.6637552380561829,1.2664451599121094,-1.774132251739502,-0.4801746904850006,0.13239319622516632,-0.49834850430488586
3112,0.280771404504776,0.9088412523269653,0.6152558922767639,1.2200658321380615,-1.7520819902420044,-0.4864722192287445,0.16865095496177673,-0.4904811680316925,0.28367388248443604,0.9046850800514221,0.6304575800895691,1.2141386270523071,-1.7582552433013916,-0.47901394963264465,0.1308712363243103,-0.49168696999549866,0.28787773847579956,0.8822106719017029,0.6461750268936157,1.2299046516418457,-1.7663615942001343,-0.4768824279308319,0.11684410274028778,-0.49341729283332825,0.2921089828014374,0.8423790335655212,0.6635594964027405,1.2661561965942383,-1.774376630783081,-0.4806816875934601,0.13212008774280548,-0.49834975600242615,0.294746994972229,0.7882005572319031,0.6818249225616455,1.3172105550765991,-1.7787303924560547,-0.49078860878944397,0.17477625608444214,-0.5090948939323425
3113,0.28268998861312866,0.9033453464508057,0.6304131746292114,1.213753581047058,-1.7582639455795288,-0.47934266924858093,0.13026852905750275,-0.4917081892490387,0.28711599111557007,0.8810210824012756,0.6460995078086853,1.2295539379119873,-1.7666175365447998,-0.477288156747818,0.11620859056711197,-0.493439644575119,0.2915853261947632,0.8414634466171265,0.6634407043457031,1.2658276557922363,-1.7746490240097046,-0.4811386168003082,0.1315840780735016,-0.498368501663208,0.29447734355926514,0.7876273393630981,0.6816454529762268,1.3168871402740479,-1.7789767980575562,-0.49126967787742615,0.17449624836444855,-0.509096086025238,0.2938348650932312,0.7238423824310303,0.6988682150840759,1.374935269355774,-1.7758407592773438,-0.5075692534446716,0.2353583723306656,-0.5281874537467957
3114,0.28613194823265076,0.8797839283943176,0.6460628509521484,1.2291547060012817,-1.766626238822937,-0.4776216745376587,0.11561266332864761,-0.4934607744216919,0.29082366824150085,0.840451717376709,0.6633767485618591,1.2654461860656738,-1.7749075889587402,-0.48153263330459595,0.1309414803981781,-0.4983905851840973,0.2939537763595581,0.7869465351104736,0.6815413236618042,1.3165197372436523,-1.779251217842102,-0.49169906973838806,0.17394450306892395,-0.5091142654418945,0.29356518387794495,0.7235351204872131,0.6987040042877197,1.37457275390625,-1.7760859727859497,-0.5080093145370483,0.23506850004196167,-0.5281885862350464,0.2874988913536072,0.6546565294265747,0.7138288021087646,1.4320389032363892,-1.7627254724502563,-0.5297210216522217,0.29924270510673523,-0.5573991537094116
3115,0.2898394763469696,0.8393906354904175,0.6633486747741699,1.2650141716003418,-1.774916410446167,-0.4818543791770935,0.13033874332904816,-0.49841147661209106,0.29319217801094055,0.7861728668212891,0.6814895272254944,1.3160948753356934,-1.7795112133026123,-0.4920640289783478,0.17328161001205444,-0.5091357827186584,0.2930415868759155,0.723129153251648,0.6986138224601746,1.3741611242294312,-1.7763590812683105,-0.5083951950073242,0.23449429869651794,-0.5282058119773865,0.2872290313243866,0.6546351909637451,0.7136780023574829,1.4316377639770508,-1.7629647254943848,-0.5301069617271423,0.2989424169063568,-0.5574001669883728,0.2737797200679779,0.584039032459259,0.7274370193481445,1.4827817678451538,-1.7382981777191162,-0.5559384226799011,0.35000598430633545,-0.5966786742210388
3116,0.29220789670944214,0.7853471636772156,0.6814704537391663,1.3156166076660156,-1.7795201539993286,-0.492356538772583,0.1726592630147934,-0.5091561675071716,0.2922799587249756,0.7226341962814331,0.6985734105110168,1.3736870288848877,-1.776618242263794,-0.5087141990661621,0.23380234837532043,-0.5282262563705444,0.2867051661014557,0.6545246243476868,0.7136000394821167,1.4311823844909668,-1.7632322311401367,-0.5304354429244995,0.29834452271461487,-0.5574159026145935,0.2735094726085663,0.5843095779418945,0.7272984981536865,1.4823461771011353,-1.7385263442993164,-0.556260347366333,0.34969744086265564,-0.5966795682907104,0.2515306770801544,0.5137704014778137,0.7415919899940491,1.524007797241211,-1.7026472091674805,-0.5847831964492798,0.37444832921028137,-0.6434889435768127
