node_id,q_000,q_001,q_002,q_003,q_004,q_005,q_006,q_007,q_008,q_009,q_010,q_011,q_012,q_013,q_014,q_015,q_016,q_017,q_018,q_019,q_020,q_021,q_022,q_023,q_024,q_025,q_026,q_027,q_028,q_029,q_030,q_031,q_032,q_033,q_034,q_035,q_036,q_037,q_038,q_039
22,-0.992085874080658,-0.39611387252807617,-0.9852839112281799,-0.38262471556663513,-0.9781280755996704,-0.3683859407901764,-0.9729719161987305,-0.35589924454689026,-0.971591055393219,-0.3472658097743988,-0.973605215549469,-0.3426738381385803,-0.975924015045166,-0.3397676944732666,-0.9737094044685364,-0.3344430923461914,-0.9621751308441162,-0.3225087523460388,-0.938145637512207,-0.3012181520462036,-0.9008999466896057,-0.2701604664325714,-0.8524972796440125,-0.23161548376083374,-0.7976866960525513,-0.19044619798660278,-0.7429487109184265,-0.15315207839012146,-0.6942424178123474,-0.12574177980422974,-0.6541293859481812,-0.11104642599821091,-0.6202113628387451,-0.1072089672088623,-0.5866587162017822,-0.1089397445321083,-0.5483819246292114,-0.11116744577884674,-0.5048031210899353,-0.11244756728410721
23,-0.9918831586837769,-0.3835851848125458,-0.9843961596488953,-0.36926645040512085,-0.9789212346076965,-0.35668912529945374,-0.9772120714187622,-0.3479498028755188,-0.9788968563079834,-0.34324437379837036,-0.9809355139732361,-0.34023863077163696,-0.9785252809524536,-0.3348436653614044,-0.9668398499488831,-0.3228566348552704,-0.9425966739654541,-0.301494300365448,-0.9049785137176514,-0.27031025290489197,-0.8560367226600647,-0.23157860338687897,-0.8006067872047424,-0.19019170105457306,-0.7452819347381592,-0.15268997848033905,-0.6960952281951904,-0.1251104474067688,-0.6556323766708374,-0.11029684543609619,-0.6214913129806519,-0.10639742016792297,-0.5878218412399292,-0.10812139511108398,-0.5494971871376038,-0.11038343608379364,-0.5058948397636414,-0.11171351373195648,-0.4613569378852844,-0.1149153932929039
24,-0.990991473197937,-0.37021857500076294,-0.9851927161216736,-0.3575626015663147,-0.9831786751747131,-0.34873518347740173,-0.9845461845397949,-0.3439263105392456,-0.9862539172172546,-0.34080809354782104,-0.9835457801818848,-0.33531275391578674,-0.9716329574584961,-0.3232535123825073,-0.9471984505653381,-0.30183637142181396,-0.9093270301818848,-0.27057966589927673,-0.8599862456321716,-0.2317238301038742,-0.8040138483047485,-0.1901559978723526,-0.7480888962745667,-0.15244285762310028,-0.6983457803726196,-0.12465804070234299,-0.6574302911758423,-0.10967239737510681,-0.6229566335678101,-0.10565006732940674,-0.5890703797340393,-0.10730943083763123,-0.5506284236907959,-0.10956455022096634,-0.5069761872291565,-0.11092935502529144,-0.4624159038066864,-0.11418091505765915,-0.423789918422699,-0.12464576214551926
25,-0.9917914867401123,-0.3585074245929718,-0.9894682168960571,-0.34960395097732544,-0.9905425310134888,-0.3447094261646271,-0.991931676864624,-0.341488778591156,-0.9888737201690674,-0.33588001132011414,-0.9766296744346619,-0.32371827960014343,-0.9519265294075012,-0.30222654342651367,-0.9138218760490417,-0.2709132134914398,-0.864195704460144,-0.23198485374450684,-0.8078137636184692,-0.19029638171195984,-0.7513619661331177,-0.15240825712680817,-0.7010514140129089,-0.12441641837358475,-0.6596126556396484,-0.1092253252863884,-0.6247081756591797,-0.1050276979804039,-0.5904983878135681,-0.10656164586544037,-0.5518409609794617,-0.10875194519758224,-0.5080708861351013,-0.11011026799678802,-0.46346259117126465,-0.11339609324932098,-0.42482060194015503,-0.1239096075296402,-0.3991325795650482,-0.14783674478530884
26,-0.9960860013961792,-0.3505437672138214,-0.9968633651733398,-0.345575749874115,-0.9979580640792847,-0.34227052330970764,-0.9945616126060486,-0.33655816316604614,-0.9819324016571045,-0.32428041100502014,-0.9568551778793335,-0.3026834726333618,-0.9184393882751465,-0.2712935209274292,-0.8685455322265625,-0.23230774700641632,-0.8118619322776794,-0.1905483603477478,-0.7550104856491089,-0.15254420042037964,-0.7042044997215271,-0.1243826225399971,-0.6622346639633179,-0.10898672789335251,-0.6268328428268433,-0.10458222776651382,-0.5922037959098816,-0.1059388667345047,-0.5532260537147522,-0.10800345987081528,-0.5092422366142273,-0.10929741710424423,-0.4645198881626129,-0.11257609724998474,-0.4258372485637665,-0.12312217801809311,-0.40014466643333435,-0.14709658920764923,-0.3933955430984497,-0.19067354500293732
27,-1.003514051437378,-0.3465130627155304,-1.0043103694915771,-0.34313538670539856,-1.000598669052124,-0.3373371362686157,-0.987593412399292,-0.3249526023864746,-0.9620857238769531,-0.3032362759113312,-0.9232524633407593,-0.2717389166355133,-0.8730130195617676,-0.23267577588558197,-0.8160435557365417,-0.1908598393201828,-0.7588954567909241,-0.1527879685163498,-0.7077174186706543,-0.12451527267694473,-0.6652887463569641,-0.10895337164402008,-0.6293841004371643,-0.10434453934431076,-0.5942711234092712,-0.10549308359622955,-0.5548785924911499,-0.10738003998994827,-0.5105782151222229,-0.10854867845773697,-0.4656490385532379,-0.111762136220932,-0.4268622398376465,-0.12229858338832855,-0.40114161372184753,-0.1463029384613037,-0.3944033086299896,-0.18992601335048676,-0.40969109535217285,-0.25740671157836914
28,-1.0109941959381104,-0.3440711796283722,-1.0069622993469238,-0.33819907903671265,-0.9936022162437439,-0.3257250189781189,-0.9676699638366699,-0.3038976788520813,-0.9283603429794312,-0.27227798104286194,-0.8776692152023315,-0.23310676217079163,-0.820337176322937,-0.1912146508693695,-0.7629068493843079,-0.1530890315771103,-0.7114562392234802,-0.124752938747406,-0.6686897277832031,-0.10908421128988266,-0.6323543787002563,-0.10431130975484848,-0.5967521071434021,-0.10525521636009216,-0.556879997253418,-0.10693375766277313,-0.5121701955795288,-0.10792501270771027,-0.46693482995033264,-0.11101221293210983,-0.42795494198799133,-0.12148026376962662,-0.4021454155445099,-0.14547079801559448,-0.3953956961631775,-0.18912085890769958,-0.4107111394405365,-0.25664767622947693,-0.4451981782913208,-0.34688714146614075
29,-1.013657808303833,-0.33913177251815796,-0.999936044216156,-0.3265800178050995,-0.9735977649688721,-0.3046582043170929,-0.9338141679763794,-0.2729234993457794,-0.8826107978820801,-0.23362870514392853,-0.8248115181922913,-0.19163019955158234,-0.7670244574546814,-0.15343180298805237,-0.7153151631355286,-0.1250462681055069,-0.6723079681396484,-0.10931851714849472,-0.6356606483459473,-0.10444160550832748,-0.5996391177177429,-0.10522196441888809,-0.559280276298523,-0.10669560730457306,-0.5140962600708008,-0.1074785441160202,-0.46846479177474976,-0.11038745194673538,-0.4291972815990448,-0.12072568386793137,-0.4032141864299774,-0.14464208483695984,-0.3963945209980011,-0.18827290832996368,-0.4117165505886078,-0.25582462549209595,-0.4462449848651886,-0.3461127281188965,-0.49052557349205017,-0.45083582401275635
30,-1.0066003799438477,-0.3275054395198822,-0.9798465967178345,-0.3055005967617035,-0.9396042823791504,-0.27366653084754944,-0.887887716293335,-0.2342543751001358,-0.8295601606369019,-0.19213373959064484,-0.7713147401809692,-0.15383325517177582,-0.7192750573158264,-0.12538011372089386,-0.6760410070419312,-0.10960759222507477,-0.6391767263412476,-0.10467490553855896,-0.6028513312339783,-0.10535236448049545,-0.562071681022644,-0.106662318110466,-0.5164041519165039,-0.10724028199911118,-0.47031375765800476,-0.10994013398885727,-0.43067362904548645,-0.1200965866446495,-0.40442800521850586,-0.14387637376785278,-0.39745771884918213,-0.18742498755455017,-0.412729412317276,-0.2549520432949066,-0.4472787380218506,-0.345265656709671,-0.4916065037250519,-0.4500434994697571,-0.5341447591781616,-0.5567672252655029
31,-0.9864216446876526,-0.30641284584999084,-0.945708692073822,-0.2744904160499573,-0.8934910297393799,-0.23497557640075684,-0.8346319198608398,-0.1927381008863449,-0.7758681178092957,-0.15432003140449524,-0.7234004735946655,-0.12577110528945923,-0.6798708438873291,-0.10993652045726776,-0.6428033709526062,-0.10496269166469574,-0.6062660217285156,-0.10558586567640305,-0.5651758909225464,-0.1067928895354271,-0.5190862417221069,-0.10720697790384293,-0.4725271761417389,-0.10970139503479004,-0.4324559271335602,-0.11964591592550278,-0.40586918592453003,-0.14323697984218597,-0.3986649215221405,-0.18663877248764038,-0.4138084053993225,-0.25407421588897705,-0.4483221471309662,-0.3443600833415985,-0.4926764965057373,-0.44916853308677673,-0.5352585911750793,-0.5559566617012024,-0.5683903098106384,-0.6533175110816956
