edge_id,global_i,global_j,block_i,block_j,index_i,index_j,d_contact,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
994,3093.0,3251.0,11.0,11.0,389.0,547.0,0.31785452365875244,1.1017541885375977,True,1,0,False,False
995,3093.0,3252.0,11.0,11.0,389.0,548.0,0.3244987726211548,1.1278492212295532,True,1,0,False,False
996,3093.0,3253.0,11.0,11.0,389.0,549.0,0.331973135471344,1.1544643640518188,True,1,0,False,False
997,3093.0,3254.0,11.0,11.0,389.0,550.0,0.3413034975528717,1.1795597076416016,True,1,0,False,False
998,3093.0,3255.0,11.0,11.0,389.0,551.0,0.35375580191612244,1.201391577720642,True,1,0,False,False
1009,3094.0,3250.0,11.0,11.0,390.0,546.0,0.2965896427631378,1.0380970239639282,True,1,0,False,False
1010,3094.0,3251.0,11.0,11.0,390.0,547.0,0.3025283217430115,1.060643196105957,True,1,0,False,False
1011,3094.0,3252.0,11.0,11.0,390.0,548.0,0.30908527970314026,1.0854092836380005,True,1,0,False,False
1012,3094.0,3253.0,11.0,11.0,390.0,549.0,0.31649336218833923,1.111124873161316,True,1,0,False,False
1013,3094.0,3254.0,11.0,11.0,390.0,550.0,0.32542672753334045,1.1356866359710691,True,1,0,False,False
1014,3094.0,3255.0,11.0,11.0,390.0,551.0,0.33692580461502075,1.1572061777114868,True,1,0,False,False
1015,3094.0,3256.0,11.0,11.0,390.0,552.0,0.3517675101757049,1.1746085882186887,True,1,0,False,False
1028,3095.0,3253.0,11.0,11.0,391.0,549.0,0.30806738138198847,1.0584301948547363,True,1,0,False,False
1029,3095.0,3254.0,11.0,11.0,391.0,550.0,0.3171157240867615,1.0821255445480347,True,1,0,False,False
1030,3095.0,3255.0,11.0,11.0,391.0,551.0,0.32798388600349426,1.1030254364013672,True,1,0,False,False
1031,3095.0,3256.0,11.0,11.0,391.0,552.0,0.34125709533691406,1.1200109720230103,True,1,0,False,False
1032,3095.0,3257.0,11.0,11.0,391.0,553.0,0.3566265404224396,1.1326409578323364,True,1,0,False,False
1045,3096.0,3255.0,11.0,11.0,392.0,551.0,0.3273018002510071,1.041066527366638,True,1,0,False,False
1046,3096.0,3256.0,11.0,11.0,392.0,552.0,0.3393903076648712,1.057440400123596,True,1,0,False,False
1047,3096.0,3257.0,11.0,11.0,392.0,553.0,0.3524130582809448,1.069714069366455,True,1,0,False,False
