edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
1164,1458.0,2027.0,3.0,3.0,108.0,677.0,4.0,4.0,0.34173110127449036,1.0947340726852417,True,1,0,False,False
1165,1459.0,2027.0,3.0,3.0,109.0,677.0,4.0,4.0,0.33530735969543457,1.113270282745361,True,1,0,False,False
1166,1459.0,2028.0,3.0,3.0,109.0,678.0,4.0,4.0,0.3475880622863769,1.0899609327316284,True,1,0,False,False
1167,1460.0,2027.0,3.0,3.0,110.0,677.0,4.0,4.0,0.3432847559452057,1.1279507875442505,True,1,0,False,False
1168,1460.0,2028.0,3.0,3.0,110.0,678.0,4.0,4.0,0.3465126752853393,1.1053690910339355,True,1,0,False,False
1169,1461.0,2028.0,3.0,3.0,111.0,678.0,4.0,4.0,0.3544404208660126,1.117022395133972,True,1,0,False,False
1170,1461.0,2029.0,3.0,3.0,111.0,679.0,4.0,4.0,0.3596414625644684,1.0935200452804563,True,1,0,False,False
1377,2469.0,2621.0,4.0,4.0,442.0,594.0,4.0,4.0,0.35506555438041687,1.0383644104003906,True,0,1,False,False
1411,3124.0,3916.0,5.0,6.0,420.0,535.0,9.0,9.0,0.3303436040878296,1.9427888393402095,True,0,1,False,False
1412,3124.0,3917.0,5.0,6.0,420.0,536.0,9.0,9.0,0.336983859539032,2.0398457050323486,True,0,1,False,False
1413,3125.0,3916.0,5.0,6.0,421.0,535.0,9.0,9.0,0.3080507814884186,1.7797908782958984,True,0,1,False,False
1414,3125.0,3917.0,5.0,6.0,421.0,536.0,9.0,9.0,0.2908679842948913,1.8727405071258545,True,0,1,False,False
1415,3125.0,3918.0,5.0,6.0,421.0,537.0,9.0,9.0,0.3257070779800415,1.968769073486328,True,0,1,False,False
1416,3126.0,3916.0,5.0,6.0,422.0,535.0,9.0,9.0,0.3523584306240082,1.6473912000656128,True,0,1,False,False
1417,3126.0,3917.0,5.0,6.0,422.0,536.0,9.0,9.0,0.29888877272605896,1.7346867322921753,True,0,1,False,False
1418,3126.0,3918.0,5.0,6.0,422.0,537.0,9.0,9.0,0.30656474828720087,1.8253476619720457,True,0,1,False,False
1419,3127.0,3918.0,5.0,6.0,423.0,537.0,9.0,9.0,0.3329360783100128,1.7317562103271484,True,0,1,False,False
